index,Table_Id,City,Summary_Level,Place_Fips,Geo_Id,State,State_Fips,Total_Population
0,100001,Coffman Cove,160,16360,16000US0216360,AK,2,150
1,100002,Cohoe,160,16420,16000US0216420,AK,2,1577
2,100003,Cold Bay,160,16530,16000US0216530,AK,2,46
3,100004,Coldfoot,160,16630,16000US0216630,AK,2,10
4,100005,College,160,16750,16000US0216750,AK,2,14675
5,100006,Cooper Landing,160,17190,16000US0217190,AK,2,457
6,100007,Copper Center,160,17300,16000US0217300,AK,2,405
7,100008,Cordova,160,17410,16000US0217410,AK,2,2621
8,100009,Covenant Life,160,17670,16000US0217670,AK,2,105
9,100010,Craig,160,17740,16000US0217740,AK,2,1231
10,100011,Crooked Creek,160,17850,16000US0217850,AK,2,98
11,100012,Crown Point,160,17960,16000US0217960,AK,2,132
12,100013,Deering,160,18510,16000US0218510,AK,2,144
13,100014,Delta Junction,160,18620,16000US0218620,AK,2,1045
14,100015,Deltana,160,18675,16000US0218675,AK,2,2311
15,100016,Diamond Ridge,160,18925,16000US0218925,AK,2,1140
16,100017,Dillingham,160,18950,16000US0218950,AK,2,2307
17,100018,Diomede,160,19060,16000US0219060,AK,2,43
18,100019,Dot Lake,160,19720,16000US0219720,AK,2,0
19,100020,Dot Lake Village,160,19750,16000US0219750,AK,2,54
20,100021,Dry Creek,160,20020,16000US0220020,AK,2,84
21,100022,Eagle,160,20380,16000US0220380,AK,2,89
22,100023,Eagle Village,160,20600,16000US0220600,AK,2,17
23,100024,Edna Bay,160,20970,16000US0220970,AK,2,0
24,100025,Eek,160,21040,16000US0221040,AK,2,455
25,100026,Egegik,160,21150,16000US0221150,AK,2,68
26,100027,Eielson AFB,160,21370,16000US0221370,AK,2,2630
27,100028,Ekwok,160,21810,16000US0221810,AK,2,78
28,100029,Elfin Cove,160,22140,16000US0222140,AK,2,24
29,100030,Elim,160,22250,16000US0222250,AK,2,328
30,100031,Emmonak,160,22910,16000US0222910,AK,2,835
31,100032,Ester,160,23460,16000US0223460,AK,2,3008
32,100033,Eureka Roadhouse,160,23720,16000US0223720,AK,2,0
33,100034,Evansville,160,23790,16000US0223790,AK,2,16
34,100035,Excursion Inlet,160,23900,16000US0223900,AK,2,40
35,100036,Fairbanks,160,24230,16000US0224230,AK,2,32193
36,100037,False Pass,160,24660,16000US0224660,AK,2,37
37,100038,Farmers Loop,160,24980,16000US0224980,AK,2,4149
38,100039,Farm Loop,160,25000,16000US0225000,AK,2,1081
39,100040,Ferry,160,25220,16000US0225220,AK,2,6
40,100041,Fishhook,160,25550,16000US0225550,AK,2,5323
41,100042,Flat,160,25880,16000US0225880,AK,2,0
42,100043,Fort Greely,160,26100,16000US0226100,AK,2,391
43,100044,Fort Yukon,160,26760,16000US0226760,AK,2,555
44,100045,Four Mile Road,160,26835,16000US0226835,AK,2,10
45,100046,Fox,160,26870,16000US0226870,AK,2,558
46,100047,Fox River,160,26910,16000US0226910,AK,2,649
47,100048,Fritz Creek,160,27090,16000US0227090,AK,2,1910
48,100049,Funny River,160,27145,16000US0227145,AK,2,776
49,100050,Gakona,160,27420,16000US0227420,AK,2,205
50,100051,Galena,160,27530,16000US0227530,AK,2,554
51,100052,Gambell,160,27640,16000US0227640,AK,2,718
52,100053,Game Creek,160,27700,16000US0227700,AK,2,36
53,100054,Gateway,160,28200,16000US0228200,AK,2,5610
54,100055,Glacier View,160,28590,16000US0228590,AK,2,249
55,100056,Glennallen,160,28740,16000US0228740,AK,2,366
56,100057,Goldstream,160,29130,16000US0229130,AK,2,3862
57,100058,Golovin,160,29180,16000US0229180,AK,2,132
58,100059,Goodnews Bay,160,29290,16000US0229290,AK,2,230
59,100060,Grayling,160,30060,16000US0230060,AK,2,171
60,100061,Gulkana,160,30500,16000US0230500,AK,2,115
61,100062,Gustavus,160,30940,16000US0230940,AK,2,496
62,100063,Haines,160,31050,16000US0231050,AK,2,1955
63,100064,Halibut Cove,160,31270,16000US0231270,AK,2,23
64,100065,Happy Valley,160,31710,16000US0231710,AK,2,607
65,100066,Harding-Birch Lakes,160,31765,16000US0231765,AK,2,142
66,100067,Healy,160,32150,16000US0232150,AK,2,1120
67,100068,Healy Lake,160,32310,16000US0232310,AK,2,0
68,100069,Hobart Bay,160,32550,16000US0232550,AK,2,0
69,100070,Hollis,160,32810,16000US0232810,AK,2,124
70,100071,Holy Cross,160,33030,16000US0233030,AK,2,214
71,100072,Homer,160,33140,16000US0233140,AK,2,5324
72,100073,Hoonah,160,33360,16000US0233360,AK,2,821
73,100074,Hooper Bay,160,33470,16000US0233470,AK,2,1140
74,100075,Hope,160,33580,16000US0233580,AK,2,50
75,100076,Houston,160,33800,16000US0233800,AK,2,1977
76,100077,Hughes,160,33910,16000US0233910,AK,2,62
77,100078,Huslia,160,34350,16000US0234350,AK,2,420
78,100079,Hydaburg,160,34460,16000US0234460,AK,2,277
79,100080,Hyder,160,34570,16000US0234570,AK,2,13
80,100081,Igiugig,160,34790,16000US0234790,AK,2,49
81,100082,Iliamna,160,35120,16000US0235120,AK,2,78
